Idusuario,Deslogin,Dessenha,Dtcadastro
8,MarcosAlmeida,1234245345345,2017-07-18 14:59:46
13,NicolasAlmeida,12390###12783,2017-07-19 09:57:46
15,FulanoNasc,12312321,2017-07-19 09:58:31
16,Luis,45645646,2017-07-19 09:59:36
19,UsuarioAlterado,SenhaAlterada,2017-07-19 11:11:40
20,DonaldTrump,MakeAmericaGreatAgain,2017-07-19 11:51:09
21,aluno,@9869!,2017-07-20 11:08:09
25,AlunoFulano,@@@@dd,2017-07-20 11:10:43
26,Paulo,76948474,2017-07-20 11:12:58
27,Fulano,senhaDahora,2017-07-20 11:15:07
28,Coordenador,**&¨%%&*,2017-07-20 11:17:28
29,AlunoFulano,@L1N0,2017-07-20 11:18:15
